user_id,name,contact,city_id
1,Lance Elliott,284-625-6254,4
2,Brenda Dorsey,915.790.6530,5
3,Brittany Jordan,(835)217-5676,3
4,Megan Davis,278.808.8725,1
5,Diane Neal,778-518-7719,2
6,Scott Clark,(959)527-4793x677,1
7,Stephanie Shaffer,5316700410,4
8,Brian Coleman,+1-488-392-8514,5
9,Dawn Wolfe,363.661.6016,1
10,Patricia Carter,001-671-879-2946,1
11,Kevin Ford,001-823-539-9221x289,1
12,Christine Ramirez,(499)474-5892,2
13,Mary Tran,001-855-681-1314x9944,1
14,Edward Davis,001-859-778-5410,1
15,Jeffery Greene,3453512312,4
16,Jeffrey Myers,344-206-7594x54295,5
17,Jerry Sheppard,(479)373-2529,1
18,Cory Davidson,249.407.7007,5
19,Sara Oconnell,(361)652-0382,1
20,Victoria Brooks,001-434-821-2034x495,2
21,Kirsten Cox,+1-857-483-5522x8024,4
22,Tyler Mendoza,+1-956-746-7688x364,4
23,Kimberly Scott,299-812-8839x207,4
24,Michael Carr,454-349-6095x9337,4
25,Robert Mccoy,426-570-4817,2
26,Stacy Hawkins,(319)983-8006x0425,1
27,David Vasquez,001-753-777-8589x590,5
28,Amanda Morrison,482-225-2555x00908,5
29,Crystal Anderson,8698563437,5
30,Jenna Roman,001-538-715-6643x0381,4
31,Raymond Moreno,567-556-5431x076,3
32,Brandon Holt,+1-506-880-6408x984,4
33,Alex Meyer,545.624.5245,5
34,Jennifer Smith,(628)538-0560,2
35,Arthur Hodge,+1-462-775-0413x123,2
36,Hannah Smith,537-662-7547x0873,2
37,Rick Heath,(413)373-0719x748,5
38,Lori Mitchell,5683096874,4
39,Zachary Richards,001-934-737-8358x017,5
40,Manuel Perez,(361)368-6894,2
41,Brian Kidd,(518)992-4049x190,1
42,Melissa Garcia,+1-753-703-1316,3
43,Jay Williams,378.458.0976x8833,1
44,Carmen Soto,788.944.0926x586,5
45,Ariel Obrien,9449788081,1
46,Brent Wright,586.216.4880x02876,1
47,Joseph Murray,971.449.5670,2
48,Brandon Kelly,(893)391-9893x682,3
49,Robert Powers,747.935.3729x075,4
50,Stephen Thompson,754.205.8333x5251,4
